ForecastDate,Date,CountryCode,CountryName,Estimated,Confirmed,ForecastChart
2020-03-19,2020-02-22,AE,United Arab Emirates,3.601,11,charts/2020-03-19_AE.svg
2020-03-19,2020-02-23,AE,United Arab Emirates,4.857,13,charts/2020-03-19_AE.svg
2020-03-19,2020-02-24,AE,United Arab Emirates,6.432,13,charts/2020-03-19_AE.svg
2020-03-19,2020-02-25,AE,United Arab Emirates,8.373,13,charts/2020-03-19_AE.svg
2020-03-19,2020-02-26,AE,United Arab Emirates,10.724,13,charts/2020-03-19_AE.svg
2020-03-19,2020-02-27,AE,United Arab Emirates,13.530,13,charts/2020-03-19_AE.svg
2020-03-19,2020-02-28,AE,United Arab Emirates,16.828,19,charts/2020-03-19_AE.svg
2020-03-19,2020-02-29,AE,United Arab Emirates,20.652,19,charts/2020-03-19_AE.svg
2020-03-19,2020-03-01,AE,United Arab Emirates,25.030,21,charts/2020-03-19_AE.svg
2020-03-19,2020-03-02,AE,United Arab Emirates,29.981,21,charts/2020-03-19_AE.svg
2020-03-19,2020-03-04,AE,United Arab Emirates,35.516,27,charts/2020-03-19_AE.svg
2020-03-19,2020-03-06,AE,United Arab Emirates,41.640,29,charts/2020-03-19_AE.svg
2020-03-19,2020-03-08,AE,United Arab Emirates,48.346,45,charts/2020-03-19_AE.svg
2020-03-19,2020-03-10,AE,United Arab Emirates,55.622,59,charts/2020-03-19_AE.svg
2020-03-19,2020-03-11,AE,United Arab Emirates,63.446,74,charts/2020-03-19_AE.svg
2020-03-19,2020-03-13,AE,United Arab Emirates,71.790,85,charts/2020-03-19_AE.svg
2020-03-19,2020-03-15,AE,United Arab Emirates,80.620,85,charts/2020-03-19_AE.svg
2020-03-19,2020-03-16,AE,United Arab Emirates,89.894,86,charts/2020-03-19_AE.svg
2020-03-19,2020-03-17,AE,United Arab Emirates,99.570,98,charts/2020-03-19_AE.svg
2020-03-19,2020-03-18,AE,United Arab Emirates,109.599,113,charts/2020-03-19_AE.svg
2020-03-19,2020-03-19,AE,United Arab Emirates,119.932,113,charts/2020-03-19_AE.svg
2020-03-19,2020-03-20,AE,United Arab Emirates,130.518,,charts/2020-03-19_AE.svg
2020-03-19,2020-03-21,AE,United Arab Emirates,141.304,,charts/2020-03-19_AE.svg
2020-03-19,2020-03-22,AE,United Arab Emirates,152.240,,charts/2020-03-19_AE.svg
2020-03-19,2020-03-02,AT,Austria,5.677,14,charts/2020-03-19_AT.svg
2020-03-19,2020-03-03,AT,Austria,9.168,18,charts/2020-03-19_AT.svg
2020-03-19,2020-03-04,AT,Austria,14.471,24,charts/2020-03-19_AT.svg
2020-03-19,2020-03-05,AT,Austria,22.349,29,charts/2020-03-19_AT.svg
2020-03-19,2020-03-06,AT,Austria,33.810,41,charts/2020-03-19_AT.svg
2020-03-19,2020-03-07,AT,Austria,50.147,74,charts/2020-03-19_AT.svg
2020-03-19,2020-03-08,AT,Austria,72.993,99,charts/2020-03-19_AT.svg
2020-03-19,2020-03-09,AT,Austria,104.362,102,charts/2020-03-19_AT.svg
2020-03-19,2020-03-10,AT,Austria,146.690,131,charts/2020-03-19_AT.svg
2020-03-19,2020-03-11,AT,Austria,202.865,182,charts/2020-03-19_AT.svg
2020-03-19,2020-03-12,AT,Austria,276.249,246,charts/2020-03-19_AT.svg
2020-03-19,2020-03-13,AT,Austria,370.680,361,charts/2020-03-19_AT.svg
2020-03-19,2020-03-14,AT,Austria,490.464,504,charts/2020-03-19_AT.svg
2020-03-19,2020-03-15,AT,Austria,640.349,655,charts/2020-03-19_AT.svg
2020-03-19,2020-03-16,AT,Austria,825.475,860,charts/2020-03-19_AT.svg
2020-03-19,2020-03-17,AT,Austria,1051.312,1016,charts/2020-03-19_AT.svg
2020-03-19,2020-03-18,AT,Austria,1323.582,1332,charts/2020-03-19_AT.svg
2020-03-19,2020-03-19,AT,Austria,1648.163,1646,charts/2020-03-19_AT.svg
2020-03-19,2020-03-20,AT,Austria,2030.989,,charts/2020-03-19_AT.svg
2020-03-19,2020-03-21,AT,Austria,2477.932,,charts/2020-03-19_AT.svg
